regime,control,K,contexts,restarts_per_context,beam_legal_q1,beam_legal_repeat_q1,primary_legal_q1,exact_global_optimal_score,same_action_as_primary_K,floor_score_gap,fraction_contexts_all_optima_require_q1,strict_proxy_exploitation_witnesses
NOMINAL,channel0,4,160,4,0.5046875,0.25,0.2125,0.0171875,0.1484375,0.0087173583984375,1.0,77
NOMINAL,channel0,16,160,4,0.9609375,0.4765625,0.70625,0.7328125,0.3328125,0.00202685546875,1.0,77
NOMINAL,channel0,48,160,4,1.0,0.5,1.0,1.0,1.0,0.0,1.0,77
NOMINAL,median,4,160,4,0.0671875,0.025,0.08125,0.278125,0.38125,0.0049951904296875,0.1,0
NOMINAL,median,16,160,4,0.14375,0.06875,0.23125,0.790625,0.315625,0.0013112548828125002,0.1,0
NOMINAL,median,48,160,4,0.1,0.05,0.1,1.0,1.0,0.0,0.1,0
NOMINAL,channel2,4,160,4,0.059375,0.0203125,0.08125,0.2875,0.384375,0.0050022705078125,0.0875,0
NOMINAL,channel2,16,160,4,0.1265625,0.0546875,0.21875,0.7875,0.328125,0.0013294189453125001,0.0875,0
NOMINAL,channel2,48,160,4,0.0875,0.0375,0.0875,1.0,1.0,0.0,0.0875,0
PHYSICAL_SHIFT,channel0,4,160,4,0.5046875,0.25,0.2125,0.0171875,0.1484375,0.0087173583984375,1.0,83
PHYSICAL_SHIFT,channel0,16,160,4,0.9609375,0.4765625,0.70625,0.7328125,0.3328125,0.00202685546875,1.0,83
PHYSICAL_SHIFT,channel0,48,160,4,1.0,0.5,1.0,1.0,1.0,0.0,1.0,83
PHYSICAL_SHIFT,median,4,160,4,0.0671875,0.025,0.08125,0.278125,0.38125,0.0049951904296875,0.1,0
PHYSICAL_SHIFT,median,16,160,4,0.14375,0.06875,0.23125,0.790625,0.315625,0.0013112548828125002,0.1,0
PHYSICAL_SHIFT,median,48,160,4,0.1,0.05,0.1,1.0,1.0,0.0,0.1,0
PHYSICAL_SHIFT,channel2,4,160,4,0.059375,0.0203125,0.08125,0.2875,0.384375,0.0050022705078125,0.0875,0
PHYSICAL_SHIFT,channel2,16,160,4,0.1265625,0.0546875,0.21875,0.7875,0.328125,0.0013294189453125001,0.0875,0
PHYSICAL_SHIFT,channel2,48,160,4,0.0875,0.0375,0.0875,1.0,1.0,0.0,0.0875,0
COMMON_BIAS,channel0,4,160,4,0.5046875,0.25,0.2125,0.0171875,0.1484375,0.0087173583984375,1.0,77
COMMON_BIAS,channel0,16,160,4,0.9609375,0.4765625,0.70625,0.7328125,0.3328125,0.00202685546875,1.0,77
COMMON_BIAS,channel0,48,160,4,1.0,0.5,1.0,1.0,1.0,0.0,1.0,77
COMMON_BIAS,median,4,160,4,0.2828125,0.134375,0.10625,0.1359375,0.2765625,0.006904785156250001,0.55,38
COMMON_BIAS,median,16,160,4,0.5484375,0.2734375,0.45625,0.775,0.3328125,0.001484130859375,0.55,38
COMMON_BIAS,median,48,160,4,0.55,0.275,0.55,1.0,1.0,0.0,0.55,38
COMMON_BIAS,channel2,4,160,4,0.278125,0.1296875,0.10625,0.1421875,0.2796875,0.0068984375,0.54375,38
COMMON_BIAS,channel2,16,160,4,0.54375,0.2703125,0.45,0.7765625,0.334375,0.001487255859375,0.54375,38
COMMON_BIAS,channel2,48,160,4,0.54375,0.26875,0.54375,1.0,1.0,0.0,0.54375,38
