root_seed,regime,control,contexts,witnesses
1,NOMINAL,channel0,4,0
1,NOMINAL,median,4,0
1,NOMINAL,channel2,4,0
1,PHYSICAL_SHIFT,channel0,4,0
1,PHYSICAL_SHIFT,median,4,0
1,PHYSICAL_SHIFT,channel2,4,0
1,COMMON_BIAS,channel0,4,0
1,COMMON_BIAS,median,4,0
1,COMMON_BIAS,channel2,4,0
2,NOMINAL,channel0,4,4
2,NOMINAL,median,4,0
2,NOMINAL,channel2,4,0
2,PHYSICAL_SHIFT,channel0,4,4
2,PHYSICAL_SHIFT,median,4,0
2,PHYSICAL_SHIFT,channel2,4,0
2,COMMON_BIAS,channel0,4,4
2,COMMON_BIAS,median,4,2
2,COMMON_BIAS,channel2,4,2
3,NOMINAL,channel0,4,4
3,NOMINAL,median,4,0
3,NOMINAL,channel2,4,0
3,PHYSICAL_SHIFT,channel0,4,4
3,PHYSICAL_SHIFT,median,4,0
3,PHYSICAL_SHIFT,channel2,4,0
3,COMMON_BIAS,channel0,4,4
3,COMMON_BIAS,median,4,2
3,COMMON_BIAS,channel2,4,2
4,NOMINAL,channel0,4,4
4,NOMINAL,median,4,0
4,NOMINAL,channel2,4,0
4,PHYSICAL_SHIFT,channel0,4,4
4,PHYSICAL_SHIFT,median,4,0
4,PHYSICAL_SHIFT,channel2,4,0
4,COMMON_BIAS,channel0,4,4
4,COMMON_BIAS,median,4,2
4,COMMON_BIAS,channel2,4,2
5,NOMINAL,channel0,4,2
5,NOMINAL,median,4,0
5,NOMINAL,channel2,4,0
5,PHYSICAL_SHIFT,channel0,4,2
5,PHYSICAL_SHIFT,median,4,0
5,PHYSICAL_SHIFT,channel2,4,0
5,COMMON_BIAS,channel0,4,2
5,COMMON_BIAS,median,4,1
5,COMMON_BIAS,channel2,4,1
6,NOMINAL,channel0,4,0
6,NOMINAL,median,4,0
6,NOMINAL,channel2,4,0
6,PHYSICAL_SHIFT,channel0,4,0
6,PHYSICAL_SHIFT,median,4,0
6,PHYSICAL_SHIFT,channel2,4,0
6,COMMON_BIAS,channel0,4,0
6,COMMON_BIAS,median,4,0
6,COMMON_BIAS,channel2,4,0
7,NOMINAL,channel0,4,0
7,NOMINAL,median,4,0
7,NOMINAL,channel2,4,0
7,PHYSICAL_SHIFT,channel0,4,0
7,PHYSICAL_SHIFT,median,4,0
7,PHYSICAL_SHIFT,channel2,4,0
7,COMMON_BIAS,channel0,4,0
7,COMMON_BIAS,median,4,0
7,COMMON_BIAS,channel2,4,0
8,NOMINAL,channel0,4,4
8,NOMINAL,median,4,0
8,NOMINAL,channel2,4,0
8,PHYSICAL_SHIFT,channel0,4,4
8,PHYSICAL_SHIFT,median,4,0
8,PHYSICAL_SHIFT,channel2,4,0
8,COMMON_BIAS,channel0,4,4
8,COMMON_BIAS,median,4,2
8,COMMON_BIAS,channel2,4,2
9,NOMINAL,channel0,4,0
9,NOMINAL,median,4,0
9,NOMINAL,channel2,4,0
9,PHYSICAL_SHIFT,channel0,4,0
9,PHYSICAL_SHIFT,median,4,0
9,PHYSICAL_SHIFT,channel2,4,0
9,COMMON_BIAS,channel0,4,0
9,COMMON_BIAS,median,4,0
9,COMMON_BIAS,channel2,4,0
10,NOMINAL,channel0,4,4
10,NOMINAL,median,4,0
10,NOMINAL,channel2,4,0
10,PHYSICAL_SHIFT,channel0,4,4
10,PHYSICAL_SHIFT,median,4,0
10,PHYSICAL_SHIFT,channel2,4,0
10,COMMON_BIAS,channel0,4,4
10,COMMON_BIAS,median,4,2
10,COMMON_BIAS,channel2,4,2
11,NOMINAL,channel0,4,4
11,NOMINAL,median,4,0
11,NOMINAL,channel2,4,0
11,PHYSICAL_SHIFT,channel0,4,4
11,PHYSICAL_SHIFT,median,4,0
11,PHYSICAL_SHIFT,channel2,4,0
11,COMMON_BIAS,channel0,4,4
11,COMMON_BIAS,median,4,2
11,COMMON_BIAS,channel2,4,2
12,NOMINAL,channel0,4,0
12,NOMINAL,median,4,0
12,NOMINAL,channel2,4,0
12,PHYSICAL_SHIFT,channel0,4,0
12,PHYSICAL_SHIFT,median,4,0
12,PHYSICAL_SHIFT,channel2,4,0
12,COMMON_BIAS,channel0,4,0
12,COMMON_BIAS,median,4,0
12,COMMON_BIAS,channel2,4,0
13,NOMINAL,channel0,4,3
13,NOMINAL,median,4,0
13,NOMINAL,channel2,4,0
13,PHYSICAL_SHIFT,channel0,4,3
13,PHYSICAL_SHIFT,median,4,0
13,PHYSICAL_SHIFT,channel2,4,0
13,COMMON_BIAS,channel0,4,3
13,COMMON_BIAS,median,4,2
13,COMMON_BIAS,channel2,4,2
14,NOMINAL,channel0,4,4
14,NOMINAL,median,4,0
14,NOMINAL,channel2,4,0
14,PHYSICAL_SHIFT,channel0,4,4
14,PHYSICAL_SHIFT,median,4,0
14,PHYSICAL_SHIFT,channel2,4,0
14,COMMON_BIAS,channel0,4,4
14,COMMON_BIAS,median,4,2
14,COMMON_BIAS,channel2,4,2
15,NOMINAL,channel0,4,4
15,NOMINAL,median,4,0
15,NOMINAL,channel2,4,0
15,PHYSICAL_SHIFT,channel0,4,4
15,PHYSICAL_SHIFT,median,4,0
