control,V,K,regime,preview_mode,action_id,count,fraction_of_240_decisions
channel0,0,48,COMMON_BIAS,faithful,22,9,0.0375
channel0,0,48,COMMON_BIAS,faithful,26,180,0.75
channel0,0,48,COMMON_BIAS,faithful,30,51,0.2125
channel0,0,48,NOMINAL,faithful,22,9,0.0375
channel0,0,48,NOMINAL,faithful,26,180,0.75
channel0,0,48,NOMINAL,faithful,30,51,0.2125
channel0,1,4,NOMINAL,faithful,0,149,0.6208333333333333
channel0,1,4,NOMINAL,faithful,7,13,0.05416666666666667
channel0,1,4,NOMINAL,faithful,11,13,0.05416666666666667
channel0,1,4,NOMINAL,faithful,16,18,0.075
channel0,1,4,NOMINAL,faithful,20,18,0.075
channel0,1,4,NOMINAL,faithful,32,14,0.058333333333333334
channel0,1,4,NOMINAL,faithful,36,15,0.0625
channel0,1,4,PHYSICAL_SHIFT,faithful,0,149,0.6208333333333333
channel0,1,4,PHYSICAL_SHIFT,faithful,7,13,0.05416666666666667
channel0,1,4,PHYSICAL_SHIFT,faithful,11,13,0.05416666666666667
channel0,1,4,PHYSICAL_SHIFT,faithful,16,18,0.075
channel0,1,4,PHYSICAL_SHIFT,faithful,20,18,0.075
channel0,1,4,PHYSICAL_SHIFT,faithful,32,14,0.058333333333333334
channel0,1,4,PHYSICAL_SHIFT,faithful,36,15,0.0625
channel0,1,4,PHYSICAL_SHIFT,nominal,0,149,0.6208333333333333
channel0,1,4,PHYSICAL_SHIFT,nominal,7,13,0.05416666666666667
channel0,1,4,PHYSICAL_SHIFT,nominal,11,13,0.05416666666666667
channel0,1,4,PHYSICAL_SHIFT,nominal,16,18,0.075
channel0,1,4,PHYSICAL_SHIFT,nominal,20,18,0.075
channel0,1,4,PHYSICAL_SHIFT,nominal,32,14,0.058333333333333334
channel0,1,4,PHYSICAL_SHIFT,nominal,36,15,0.0625
channel0,1,48,COMMON_BIAS,faithful,20,240,1.0
channel0,1,48,NOMINAL,faithful,20,240,1.0
channel0,1,48,PHYSICAL_SHIFT,faithful,20,240,1.0
channel0,1,48,PHYSICAL_SHIFT,nominal,20,240,1.0
channel2,0,48,COMMON_BIAS,faithful,15,12,0.05
channel2,0,48,COMMON_BIAS,faithful,20,159,0.6625
channel2,0,48,COMMON_BIAS,faithful,28,19,0.07916666666666666
channel2,0,48,COMMON_BIAS,faithful,36,36,0.15
channel2,0,48,COMMON_BIAS,faithful,44,14,0.058333333333333334
channel2,0,48,NOMINAL,faithful,15,24,0.1
channel2,0,48,NOMINAL,faithful,20,125,0.5208333333333334
channel2,0,48,NOMINAL,faithful,36,76,0.31666666666666665
channel2,0,48,NOMINAL,faithful,44,15,0.0625
channel2,1,4,PHYSICAL_SHIFT,faithful,0,163,0.6791666666666667
channel2,1,4,PHYSICAL_SHIFT,faithful,7,14,0.058333333333333334
channel2,1,4,PHYSICAL_SHIFT,faithful,11,13,0.05416666666666667
channel2,1,4,PHYSICAL_SHIFT,faithful,16,2,0.008333333333333333
channel2,1,4,PHYSICAL_SHIFT,faithful,20,18,0.075
