control,V,K,regime,preview_mode,B,L,P,Y_A,Y_B,legal_repeat_rate,MAE_X,MAE_Y,coverage_X,coverage_Y,harm_count,denominator,queries,acquired_preview_values,exposed_preview_values,acquired_live_values,exposed_live_values,mean_decision_ms_17_unaudited_roots
channel0,0,48,NOMINAL,faithful,0.46614583333333337,0.05187708333333334,0.7147598958333334,0.6279437499999999,0.05187708333333334,0.0,0.037403124999999995,0.23003125,0.8390625,0.5,895,1920,4608,73728,73728,192,192,5.950847549184782
channel0,0,48,COMMON_BIAS,faithful,0.46614583333333337,0.05187708333333334,0.7147598958333334,0.6279437499999999,0.05187708333333334,0.0,0.037403124999999995,0.23003125,0.8390625,0.5,895,1920,4608,73728,73728,192,192,5.194794117557524
channel0,1,48,NOMINAL,faithful,0.11822916666666668,0.41375833333333334,0.6821588541666667,0.6279437499999999,0.41375833333333334,0.9166666666666667,0.011826041666666667,0.056906250000000005,1.0,0.5,227,1920,4608,73728,73728,192,192,5.007148040093336
channel0,1,48,COMMON_BIAS,faithful,0.11822916666666668,0.41375833333333334,0.6821588541666667,0.6279437499999999,0.41375833333333334,0.9166666666666667,0.011826041666666667,0.056906250000000005,1.0,0.5,227,1920,4608,73728,73728,192,192,5.430571568842211
median,0,48,NOMINAL,faithful,0.34375,0.32167291666666664,0.6480994791666667,0.5942770833333333,0.34019583333333336,0.0,0.09417656249999999,0.1263125,0.5020833333333333,0.5020833333333333,660,1920,4608,221184,221184,576,576,7.014221078219741
median,0,48,COMMON_BIAS,faithful,0.34375,0.32167291666666664,0.6480994791666667,0.5942770833333333,0.34019583333333336,0.0,0.09417656249999999,0.1263125,0.5020833333333333,0.5020833333333333,660,1920,4608,221184,221184,576,576,6.897142645874399
median,1,48,NOMINAL,faithful,0.0,0.5273416666666667,0.7065666666666667,0.6231104166666667,0.5273416666666667,0.33333333333333337,0.010123958333333332,0.011614583333333334,1.0,1.0,0,1920,4608,221184,221184,576,576,6.745941667616659
median,1,48,COMMON_BIAS,faithful,0.003645833333333333,0.494425,0.6962130208333334,0.62669375,0.494425,0.5791666666666668,0.009396354166666666,0.03313541666666666,1.0,0.75,7,1920,4608,221184,221184,576,576,6.872219606627957
channel2,0,48,NOMINAL,faithful,0.0,0.5298781249999999,0.7391776041666667,0.5822770833333333,0.5315083333333332,0.175,0.013289062499999999,0.01322916666666667,1.0,1.0,0,1920,4608,73728,73728,192,192,5.276256373012894
channel2,0,48,COMMON_BIAS,faithful,0.16458333333333333,0.4276791666666667,0.7358114583333333,0.5764437499999999,0.43125833333333335,0.4083333333333334,0.0122640625,0.03895833333333333,1.0,0.75,316,1920,4608,73728,73728,192,192,5.102129901620084
channel2,1,48,NOMINAL,faithful,0.0,0.528175,0.7131109375,0.6251104166666668,0.528175,0.2166666666666667,0.013417708333333334,0.01322916666666667,1.0,1.0,0,1920,4608,73728,73728,192,192,5.176377941240264
channel2,1,48,COMMON_BIAS,faithful,0.0026041666666666665,0.49967499999999987,0.7053614583333332,0.6266104166666666,0.49967499999999987,0.5166666666666667,0.012584895833333335,0.03445833333333334,1.0,0.7541666666666667,5,1920,4608,73728,73728,192,192,5.09504411785005
copies0,0,48,NOMINAL,faithful,0.46614583333333337,0.05187708333333334,0.7147598958333334,0.6279437499999999,0.05187708333333334,0.0,0.037403124999999995,0.23003125,0.8390625,0.5,895,1920,4608,73728,221184,192,576,6.787479903198569
copies0,0,48,COMMON_BIAS,faithful,0.46614583333333337,0.05187708333333334,0.7147598958333334,0.6279437499999999,0.05187708333333334,0.0,0.037403124999999995,0.23003125,0.8390625,0.5,895,1920,4608,73728,221184,192,576,6.463294118778625
