control,V,K,regime,preview_mode,decisions,omitted_id_steps,unchecked_final_authorizations
channel0,0,48,COMMON_BIAS,faithful,240,0,0
channel0,0,48,NOMINAL,faithful,240,0,0
channel0,1,4,NOMINAL,faithful,240,0,0
channel0,1,4,PHYSICAL_SHIFT,faithful,240,0,0
channel0,1,4,PHYSICAL_SHIFT,nominal,240,0,0
channel0,1,48,COMMON_BIAS,faithful,240,0,0
channel0,1,48,NOMINAL,faithful,240,0,0
channel0,1,48,PHYSICAL_SHIFT,faithful,240,0,0
channel0,1,48,PHYSICAL_SHIFT,nominal,240,0,0
channel2,0,48,COMMON_BIAS,faithful,240,0,0
channel2,0,48,NOMINAL,faithful,240,0,0
channel2,1,4,PHYSICAL_SHIFT,faithful,240,0,0
channel2,1,4,PHYSICAL_SHIFT,nominal,240,0,0
channel2,1,48,COMMON_BIAS,faithful,240,0,0
channel2,1,48,NOMINAL,faithful,240,0,0
channel2,1,48,PHYSICAL_SHIFT,faithful,240,0,0
channel2,1,48,PHYSICAL_SHIFT,nominal,240,0,0
copies0,0,48,COMMON_BIAS,faithful,240,0,0
copies0,0,48,NOMINAL,faithful,240,0,0
copies0,1,48,COMMON_BIAS,faithful,240,0,0
copies0,1,48,NOMINAL,faithful,240,0,0
mean,0,48,COMMON_BIAS,faithful,240,0,0
mean,0,48,NOMINAL,faithful,240,0,0
mean,1,48,COMMON_BIAS,faithful,240,0,0
mean,1,48,NOMINAL,faithful,240,0,0
median,0,48,COMMON_BIAS,faithful,240,0,0
median,0,48,NOMINAL,faithful,240,0,0
median,1,4,PHYSICAL_SHIFT,faithful,240,0,0
median,1,4,PHYSICAL_SHIFT,nominal,240,0,0
median,1,48,COMMON_BIAS,faithful,240,0,0
median,1,48,NOMINAL,faithful,240,0,0
median,1,48,PHYSICAL_SHIFT,faithful,240,0,0
median,1,48,PHYSICAL_SHIFT,nominal,240,0,0
repeat0,0,48,COMMON_BIAS,faithful,240,0,0
repeat0,0,48,NOMINAL,faithful,240,0,0
repeat0,1,48,COMMON_BIAS,faithful,240,0,0
repeat0,1,48,NOMINAL,faithful,240,0,0
rho90,0,48,COMMON_BIAS,faithful,240,0,0
rho90,0,48,NOMINAL,faithful,240,0,0
rho90,1,48,COMMON_BIAS,faithful,240,0,0
rho90,1,48,NOMINAL,faithful,240,0,0
