control,regime,V,coordinate,mean_pairwise_postclip_residual_correlation
median,NOMINAL,0,X,-0.032683476620364214
median,NOMINAL,0,Y,-0.010056972133861893
median,COMMON_BIAS,0,X,-0.032683476620364214
median,COMMON_BIAS,0,Y,-0.010056972133861893
median,NOMINAL,1,X,-0.03472631120662084
median,NOMINAL,1,Y,-0.010355973364998473
median,COMMON_BIAS,1,X,-0.014249114064778022
median,COMMON_BIAS,1,Y,-0.010355973364998473
copies0,NOMINAL,0,X,1.0
copies0,NOMINAL,0,Y,1.0
copies0,COMMON_BIAS,0,X,1.0
copies0,COMMON_BIAS,0,Y,1.0
copies0,NOMINAL,1,X,1.0
copies0,NOMINAL,1,Y,1.0
copies0,COMMON_BIAS,1,X,1.0
copies0,COMMON_BIAS,1,Y,1.0
repeat0,NOMINAL,0,X,-0.02614162743679495
repeat0,NOMINAL,0,Y,-0.010355973364998473
repeat0,COMMON_BIAS,0,X,-0.02614162743679495
repeat0,COMMON_BIAS,0,Y,-0.010355973364998473
repeat0,NOMINAL,1,X,0.0043005047781391375
repeat0,NOMINAL,1,Y,-0.010355973364998473
repeat0,COMMON_BIAS,1,X,0.0043005047781391375
repeat0,COMMON_BIAS,1,Y,-0.010355973364998473
rho90,NOMINAL,0,X,0.7662551284899856
rho90,NOMINAL,0,Y,0.9104662902518359
rho90,COMMON_BIAS,0,X,0.7662551284899856
rho90,COMMON_BIAS,0,Y,0.9104662902518359
rho90,NOMINAL,1,X,0.9038003088291641
rho90,NOMINAL,1,Y,0.9108641621016199
rho90,COMMON_BIAS,1,X,0.9038412553026678
rho90,COMMON_BIAS,1,Y,0.9108641621016199
mean,NOMINAL,0,X,-0.03133821817641217
mean,NOMINAL,0,Y,-0.010355973364998473
mean,COMMON_BIAS,0,X,-0.03193626434180577
mean,COMMON_BIAS,0,Y,-0.010355973364998473
mean,NOMINAL,1,X,-0.03273365094285908
mean,NOMINAL,1,Y,-0.010355973364998473
mean,COMMON_BIAS,1,X,-0.009617564286931278
mean,COMMON_BIAS,1,Y,-0.010355973364998473
