family,contrast,control,V,K,regime,metric,effect,lower,upper,family_size,zero_sample_variance
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,0.0,0.0,0.0,36,True
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,L,-0.0020364583333333337,-0.00554479520516575,0.0014718785384990824,36,False
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,P,0.0008817708333333285,-0.0006616702887830588,0.002425211955449716,36,False
measurement,repeat0-channel0,repeat0,0,48,COMMON_BIAS,B,0.0,0.0,0.0,36,True
measurement,repeat0-channel0,repeat0,0,48,COMMON_BIAS,L,-0.0020364583333333337,-0.00554479520516575,0.0014718785384990824,36,False
measurement,repeat0-channel0,repeat0,0,48,COMMON_BIAS,P,0.0008817708333333285,-0.0006616702887830588,0.002425211955449716,36,False
measurement,repeat0-channel0,repeat0,1,48,NOMINAL,B,0.0,0.0,0.0,36,True
measurement,repeat0-channel0,repeat0,1,48,NOMINAL,L,0.0,0.0,0.0,36,True
measurement,repeat0-channel0,repeat0,1,48,NOMINAL,P,0.0,0.0,0.0,36,True
measurement,repeat0-channel0,repeat0,1,48,COMMON_BIAS,B,0.0,0.0,0.0,36,True
measurement,repeat0-channel0,repeat0,1,48,COMMON_BIAS,L,0.0,0.0,0.0,36,True
measurement,repeat0-channel0,repeat0,1,48,COMMON_BIAS,P,0.0,0.0,0.0,36,True
measurement,rho90-median,rho90,0,48,NOMINAL,B,0.021354166666666667,-0.07984767645233448,0.1225560097856678,36,False
measurement,rho90-median,rho90,0,48,NOMINAL,L,-0.004747916666666674,-0.03598538804674044,0.02648955471340709,36,False
measurement,rho90-median,rho90,0,48,NOMINAL,P,-0.004939583333333342,-0.025468733775939945,0.015589567109273263,36,False
measurement,rho90-median,rho90,0,48,COMMON_BIAS,B,0.021354166666666667,-0.07984767645233448,0.1225560097856678,36,False
measurement,rho90-median,rho90,0,48,COMMON_BIAS,L,-0.004747916666666674,-0.03598538804674044,0.02648955471340709,36,False
measurement,rho90-median,rho90,0,48,COMMON_BIAS,P,-0.004939583333333342,-0.025468733775939945,0.015589567109273263,36,False
measurement,rho90-median,rho90,1,48,NOMINAL,B,0.0,0.0,0.0,36,True
measurement,rho90-median,rho90,1,48,NOMINAL,L,0.0018333333333333257,-0.004077585313881277,0.007744251980547928,36,False
measurement,rho90-median,rho90,1,48,NOMINAL,P,0.0046729166666666655,-0.00869291429318468,0.018038747626518012,36,False
measurement,rho90-median,rho90,1,48,COMMON_BIAS,B,-0.0020833333333333333,-0.0066400354871531935,0.0024733688204865265,36,False
measurement,rho90-median,rho90,1,48,COMMON_BIAS,L,0.007166666666666666,-0.007631194907876191,0.02196452824120952,36,False
