family,contrast,control,V,K,regime,metric,root_seed,difference
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000001,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000002,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000003,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000004,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000005,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000006,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000007,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000008,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000009,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000010,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000011,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000012,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000013,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000014,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000015,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000016,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000017,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000018,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000019,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,B,1000020,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,L,1000001,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,L,1000002,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,L,1000003,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,L,1000004,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,L,1000005,0.0
measurement,repeat0-channel0,repeat0,0,48,NOMINAL,L,1000006,0.0
