control,V,regime,K,action,count,total
channel0,0,NOMINAL,1,0,240,240
channel0,0,NOMINAL,2,0,130,240
channel0,0,NOMINAL,2,3,4,240
channel0,0,NOMINAL,2,5,3,240
channel0,0,NOMINAL,2,7,6,240
channel0,0,NOMINAL,2,9,8,240
channel0,0,NOMINAL,2,11,6,240
channel0,0,NOMINAL,2,13,3,240
channel0,0,NOMINAL,2,15,3,240
channel0,0,NOMINAL,2,16,6,240
channel0,0,NOMINAL,2,18,5,240
channel0,0,NOMINAL,2,20,5,240
channel0,0,NOMINAL,2,22,5,240
channel0,0,NOMINAL,2,24,1,240
channel0,0,NOMINAL,2,26,7,240
channel0,0,NOMINAL,2,28,4,240
channel0,0,NOMINAL,2,30,4,240
channel0,0,NOMINAL,2,32,5,240
channel0,0,NOMINAL,2,34,8,240
channel0,0,NOMINAL,2,36,3,240
channel0,0,NOMINAL,2,38,5,240
channel0,0,NOMINAL,2,40,2,240
channel0,0,NOMINAL,2,42,4,240
channel0,0,NOMINAL,2,44,3,240
channel0,0,NOMINAL,2,46,10,240
channel0,0,NOMINAL,4,0,23,240
channel0,0,NOMINAL,4,3,15,240
channel0,0,NOMINAL,4,5,9,240
channel0,0,NOMINAL,4,7,8,240
channel0,0,NOMINAL,4,9,14,240
channel0,0,NOMINAL,4,11,5,240
channel0,0,NOMINAL,4,13,7,240
channel0,0,NOMINAL,4,15,7,240
channel0,0,NOMINAL,4,16,12,240
channel0,0,NOMINAL,4,18,10,240
channel0,0,NOMINAL,4,20,13,240
channel0,0,NOMINAL,4,22,15,240
channel0,0,NOMINAL,4,24,9,240
channel0,0,NOMINAL,4,26,12,240
channel0,0,NOMINAL,4,28,11,240
channel0,0,NOMINAL,4,30,7,240
channel0,0,NOMINAL,4,32,6,240
channel0,0,NOMINAL,4,34,13,240
channel0,0,NOMINAL,4,36,10,240
channel0,0,NOMINAL,4,38,6,240
channel0,0,NOMINAL,4,40,7,240
channel0,0,NOMINAL,4,42,8,240
channel0,0,NOMINAL,4,44,2,240
channel0,0,NOMINAL,4,46,11,240
channel0,0,NOMINAL,8,3,13,240
channel0,0,NOMINAL,8,5,8,240
channel0,0,NOMINAL,8,7,2,240
channel0,0,NOMINAL,8,9,17,240
channel0,0,NOMINAL,8,11,1,240
channel0,0,NOMINAL,8,13,5,240
channel0,0,NOMINAL,8,15,11,240
channel0,0,NOMINAL,8,16,7,240
channel0,0,NOMINAL,8,18,17,240
channel0,0,NOMINAL,8,20,17,240
channel0,0,NOMINAL,8,22,25,240
channel0,0,NOMINAL,8,24,10,240
channel0,0,NOMINAL,8,26,23,240
channel0,0,NOMINAL,8,28,7,240
channel0,0,NOMINAL,8,30,19,240
channel0,0,NOMINAL,8,32,4,240
channel0,0,NOMINAL,8,34,11,240
channel0,0,NOMINAL,8,36,2,240
channel0,0,NOMINAL,8,38,11,240
channel0,0,NOMINAL,8,40,3,240
channel0,0,NOMINAL,8,42,11,240
channel0,0,NOMINAL,8,44,2,240
channel0,0,NOMINAL,8,46,14,240
channel0,0,NOMINAL,16,3,14,240
channel0,0,NOMINAL,16,5,8,240
channel0,0,NOMINAL,16,7,1,240
channel0,0,NOMINAL,16,9,8,240
channel0,0,NOMINAL,16,13,8,240
channel0,0,NOMINAL,16,15,3,240
channel0,0,NOMINAL,16,18,17,240
channel0,0,NOMINAL,16,20,4,240
channel0,0,NOMINAL,16,22,20,240
channel0,0,NOMINAL,16,24,7,240
channel0,0,NOMINAL,16,26,42,240
channel0,0,NOMINAL,16,28,4,240
channel0,0,NOMINAL,16,30,36,240
channel0,0,NOMINAL,16,32,2,240
channel0,0,NOMINAL,16,34,15,240
channel0,0,NOMINAL,16,36,1,240
channel0,0,NOMINAL,16,38,8,240
channel0,0,NOMINAL,16,42,22,240
channel0,0,NOMINAL,16,46,20,240
channel0,0,NOMINAL,32,5,11,240
channel0,0,NOMINAL,32,9,3,240
channel0,0,NOMINAL,32,13,8,240
channel0,0,NOMINAL,32,18,17,240
channel0,0,NOMINAL,32,22,15,240
channel0,0,NOMINAL,32,26,88,240
channel0,0,NOMINAL,32,30,69,240
channel0,0,NOMINAL,32,34,2,240
channel0,0,NOMINAL,32,38,8,240
channel0,0,NOMINAL,32,42,8,240
channel0,0,NOMINAL,32,46,11,240
channel0,0,NOMINAL,48,22,9,240
channel0,0,NOMINAL,48,26,180,240
channel0,0,NOMINAL,48,30,51,240
channel0,0,PHYSICAL_SHIFT,1,0,240,240
channel0,0,PHYSICAL_SHIFT,2,0,130,240
channel0,0,PHYSICAL_SHIFT,2,3,4,240
channel0,0,PHYSICAL_SHIFT,2,5,3,240
channel0,0,PHYSICAL_SHIFT,2,7,6,240
channel0,0,PHYSICAL_SHIFT,2,9,8,240
channel0,0,PHYSICAL_SHIFT,2,11,6,240
channel0,0,PHYSICAL_SHIFT,2,13,3,240
channel0,0,PHYSICAL_SHIFT,2,15,3,240
channel0,0,PHYSICAL_SHIFT,2,16,6,240
channel0,0,PHYSICAL_SHIFT,2,18,5,240
channel0,0,PHYSICAL_SHIFT,2,20,5,240
channel0,0,PHYSICAL_SHIFT,2,22,5,240
channel0,0,PHYSICAL_SHIFT,2,24,1,240
channel0,0,PHYSICAL_SHIFT,2,26,7,240
channel0,0,PHYSICAL_SHIFT,2,28,4,240
channel0,0,PHYSICAL_SHIFT,2,30,4,240
channel0,0,PHYSICAL_SHIFT,2,32,5,240
channel0,0,PHYSICAL_SHIFT,2,34,8,240
channel0,0,PHYSICAL_SHIFT,2,36,3,240
channel0,0,PHYSICAL_SHIFT,2,38,5,240
channel0,0,PHYSICAL_SHIFT,2,40,2,240
channel0,0,PHYSICAL_SHIFT,2,42,4,240
channel0,0,PHYSICAL_SHIFT,2,44,3,240
channel0,0,PHYSICAL_SHIFT,2,46,10,240
channel0,0,PHYSICAL_SHIFT,4,0,23,240
