root_seed,regime,group_B_lower,group_B_upper,horizon,threshold,B
1000001,NOMINAL,400,550,8,300,0.0625
1000001,NOMINAL,400,550,8,350,0.171875
1000001,NOMINAL,400,550,8,400,0.3125
1000001,NOMINAL,400,550,12,300,0.16666666666666666
1000001,NOMINAL,400,550,12,350,0.2708333333333333
1000001,NOMINAL,400,550,12,400,0.375
1000001,NOMINAL,400,550,16,300,0.25
1000001,NOMINAL,400,550,16,350,0.328125
1000001,NOMINAL,400,550,16,400,0.40625
1000001,NOMINAL,450,600,8,300,0.0
1000001,NOMINAL,450,600,8,350,0.0625
1000001,NOMINAL,450,600,8,400,0.171875
1000001,NOMINAL,450,600,12,300,0.08333333333333333
1000001,NOMINAL,450,600,12,350,0.16666666666666666
1000001,NOMINAL,450,600,12,400,0.2708333333333333
1000001,NOMINAL,450,600,16,300,0.171875
1000001,NOMINAL,450,600,16,350,0.25
1000001,NOMINAL,450,600,16,400,0.328125
1000001,NOMINAL,500,650,8,300,0.0
1000001,NOMINAL,500,650,8,350,0.0
1000001,NOMINAL,500,650,8,400,0.0625
1000001,NOMINAL,500,650,12,300,0.010416666666666666
1000001,NOMINAL,500,650,12,350,0.08333333333333333
1000001,NOMINAL,500,650,12,400,0.16666666666666666
1000001,NOMINAL,500,650,16,300,0.0859375
1000001,NOMINAL,500,650,16,350,0.171875
1000001,NOMINAL,500,650,16,400,0.25
1000001,PHYSICAL_SHIFT,400,550,8,300,0.09375
1000001,PHYSICAL_SHIFT,400,550,8,350,0.1875
1000001,PHYSICAL_SHIFT,400,550,8,400,0.3125
1000001,PHYSICAL_SHIFT,400,550,12,300,0.22916666666666666
1000001,PHYSICAL_SHIFT,400,550,12,350,0.2916666666666667
1000001,PHYSICAL_SHIFT,400,550,12,400,0.375
1000001,PHYSICAL_SHIFT,400,550,16,300,0.296875
1000001,PHYSICAL_SHIFT,400,550,16,350,0.34375
1000001,PHYSICAL_SHIFT,400,550,16,400,0.40625
1000001,PHYSICAL_SHIFT,450,600,8,300,0.03125
1000001,PHYSICAL_SHIFT,450,600,8,350,0.09375
1000001,PHYSICAL_SHIFT,450,600,8,400,0.1875
1000001,PHYSICAL_SHIFT,450,600,12,300,0.16666666666666666
1000001,PHYSICAL_SHIFT,450,600,12,350,0.22916666666666666
1000001,PHYSICAL_SHIFT,450,600,12,400,0.2916666666666667
1000001,PHYSICAL_SHIFT,450,600,16,300,0.25
1000001,PHYSICAL_SHIFT,450,600,16,350,0.296875
1000001,PHYSICAL_SHIFT,450,600,16,400,0.34375
1000001,PHYSICAL_SHIFT,500,650,8,300,0.0
1000001,PHYSICAL_SHIFT,500,650,8,350,0.03125
1000001,PHYSICAL_SHIFT,500,650,8,400,0.09375
1000001,PHYSICAL_SHIFT,500,650,12,300,0.10416666666666667
1000001,PHYSICAL_SHIFT,500,650,12,350,0.16666666666666666
1000001,PHYSICAL_SHIFT,500,650,12,400,0.22916666666666666
1000001,PHYSICAL_SHIFT,500,650,16,300,0.203125
1000001,PHYSICAL_SHIFT,500,650,16,350,0.25
1000001,PHYSICAL_SHIFT,500,650,16,400,0.296875
1000002,NOMINAL,400,550,8,300,0.015625
1000002,NOMINAL,400,550,8,350,0.125
1000002,NOMINAL,400,550,8,400,0.21875
1000002,NOMINAL,400,550,12,300,0.11458333333333333
1000002,NOMINAL,400,550,12,350,0.21875
1000002,NOMINAL,400,550,12,400,0.3125
1000002,NOMINAL,400,550,16,300,0.203125
1000002,NOMINAL,400,550,16,350,0.2890625
1000002,NOMINAL,400,550,16,400,0.359375
1000002,NOMINAL,450,600,8,300,0.0
1000002,NOMINAL,450,600,8,350,0.015625
1000002,NOMINAL,450,600,8,400,0.125
1000002,NOMINAL,450,600,12,300,0.041666666666666664
1000002,NOMINAL,450,600,12,350,0.11458333333333333
1000002,NOMINAL,450,600,12,400,0.21875
1000002,NOMINAL,450,600,16,300,0.125
1000002,NOMINAL,450,600,16,350,0.203125
1000002,NOMINAL,450,600,16,400,0.2890625
1000002,NOMINAL,500,650,8,300,0.0
1000002,NOMINAL,500,650,8,350,0.0
1000002,NOMINAL,500,650,8,400,0.015625
1000002,NOMINAL,500,650,12,300,0.010416666666666666
1000002,NOMINAL,500,650,12,350,0.041666666666666664
1000002,NOMINAL,500,650,12,400,0.11458333333333333
1000002,NOMINAL,500,650,16,300,0.0703125
1000002,NOMINAL,500,650,16,350,0.125
1000002,NOMINAL,500,650,16,400,0.203125
1000002,PHYSICAL_SHIFT,400,550,8,300,0.0625
1000002,PHYSICAL_SHIFT,400,550,8,350,0.125
1000002,PHYSICAL_SHIFT,400,550,8,400,0.234375
1000002,PHYSICAL_SHIFT,400,550,12,300,0.19791666666666666
1000002,PHYSICAL_SHIFT,400,550,12,350,0.25
1000002,PHYSICAL_SHIFT,400,550,12,400,0.3229166666666667
1000002,PHYSICAL_SHIFT,400,550,16,300,0.2734375
1000002,PHYSICAL_SHIFT,400,550,16,350,0.3125
1000002,PHYSICAL_SHIFT,400,550,16,400,0.3671875
1000002,PHYSICAL_SHIFT,450,600,8,300,0.015625
1000002,PHYSICAL_SHIFT,450,600,8,350,0.0625
1000002,PHYSICAL_SHIFT,450,600,8,400,0.125
1000002,PHYSICAL_SHIFT,450,600,12,300,0.13541666666666666
1000002,PHYSICAL_SHIFT,450,600,12,350,0.19791666666666666
1000002,PHYSICAL_SHIFT,450,600,12,400,0.25
1000002,PHYSICAL_SHIFT,450,600,16,300,0.2265625
1000002,PHYSICAL_SHIFT,450,600,16,350,0.2734375
1000002,PHYSICAL_SHIFT,450,600,16,400,0.3125
1000002,PHYSICAL_SHIFT,500,650,8,300,0.0
1000002,PHYSICAL_SHIFT,500,650,8,350,0.015625
1000002,PHYSICAL_SHIFT,500,650,8,400,0.0625
1000002,PHYSICAL_SHIFT,500,650,12,300,0.09375
1000002,PHYSICAL_SHIFT,500,650,12,350,0.13541666666666666
1000002,PHYSICAL_SHIFT,500,650,12,400,0.19791666666666666
1000002,PHYSICAL_SHIFT,500,650,16,300,0.1953125
1000002,PHYSICAL_SHIFT,500,650,16,350,0.2265625
1000002,PHYSICAL_SHIFT,500,650,16,400,0.2734375
1000003,NOMINAL,400,550,8,300,0.0
1000003,NOMINAL,400,550,8,350,0.078125
1000003,NOMINAL,400,550,8,400,0.1875
1000003,NOMINAL,400,550,12,300,0.08333333333333333
1000003,NOMINAL,400,550,12,350,0.20833333333333334
1000003,NOMINAL,400,550,12,400,0.2916666666666667
1000003,NOMINAL,400,550,16,300,0.1875
1000003,NOMINAL,400,550,16,350,0.28125
1000003,NOMINAL,400,550,16,400,0.34375
1000003,NOMINAL,450,600,8,300,0.0
1000003,NOMINAL,450,600,8,350,0.0
1000003,NOMINAL,450,600,8,400,0.078125
1000003,NOMINAL,450,600,12,300,0.020833333333333332
