root_seed,regime,time,on,off,action_changed,strict_reversal,on_breaches,off_breaches,witness
1000001,NOMINAL,0,20,7,True,True,0,0,False
1000001,NOMINAL,1,20,7,True,True,0,0,False
1000001,NOMINAL,2,20,7,True,True,0,0,False
1000001,NOMINAL,3,20,7,True,True,0,0,False
1000001,NOMINAL,4,20,7,True,True,0,0,False
1000001,NOMINAL,5,20,7,True,True,1,0,True
1000001,NOMINAL,6,20,7,True,True,1,0,True
1000001,NOMINAL,7,20,7,True,True,2,0,True
1000001,NOMINAL,8,20,7,True,True,2,1,True
1000001,NOMINAL,9,20,7,True,True,3,1,True
1000001,NOMINAL,10,20,7,True,True,3,2,True
1000001,NOMINAL,11,20,7,True,True,4,2,True
1000001,PHYSICAL_SHIFT,0,20,7,True,True,0,0,False
1000001,PHYSICAL_SHIFT,1,20,7,True,True,0,0,False
1000001,PHYSICAL_SHIFT,2,20,7,True,True,0,0,False
1000001,PHYSICAL_SHIFT,3,20,7,True,True,0,0,False
1000001,PHYSICAL_SHIFT,4,20,7,True,True,0,0,False
1000001,PHYSICAL_SHIFT,5,20,7,True,True,1,0,True
1000001,PHYSICAL_SHIFT,6,20,7,True,True,2,0,True
1000001,PHYSICAL_SHIFT,7,20,7,True,True,3,0,True
1000001,PHYSICAL_SHIFT,8,20,7,True,True,4,2,True
1000001,PHYSICAL_SHIFT,9,20,7,True,True,4,3,True
1000001,PHYSICAL_SHIFT,10,20,7,True,True,4,4,False
1000001,PHYSICAL_SHIFT,11,20,7,True,True,4,4,False
1000002,NOMINAL,0,20,20,False,False,0,0,False
1000002,NOMINAL,1,20,36,True,False,0,0,False
1000002,NOMINAL,2,20,7,True,True,0,0,False
1000002,NOMINAL,3,20,7,True,True,0,0,False
1000002,NOMINAL,4,20,7,True,True,0,0,False
1000002,NOMINAL,5,20,7,True,True,0,0,False
1000002,NOMINAL,6,20,7,True,True,0,0,False
1000002,NOMINAL,7,20,7,True,True,1,0,True
1000002,NOMINAL,8,20,7,True,True,1,0,True
1000002,NOMINAL,9,20,7,True,True,3,0,True
1000002,NOMINAL,10,20,7,True,True,3,1,True
1000002,NOMINAL,11,20,7,True,True,3,1,True
1000002,PHYSICAL_SHIFT,0,20,20,False,False,0,0,False
1000002,PHYSICAL_SHIFT,1,20,36,True,False,0,0,False
1000002,PHYSICAL_SHIFT,2,20,7,True,True,0,0,False
1000002,PHYSICAL_SHIFT,3,20,7,True,True,0,0,False
1000002,PHYSICAL_SHIFT,4,20,7,True,True,0,0,False
1000002,PHYSICAL_SHIFT,5,20,7,True,True,0,0,False
1000002,PHYSICAL_SHIFT,6,20,7,True,True,1,0,True
1000002,PHYSICAL_SHIFT,7,20,7,True,True,3,0,True
1000002,PHYSICAL_SHIFT,8,20,7,True,True,3,1,True
1000002,PHYSICAL_SHIFT,9,20,7,True,True,4,3,True
1000002,PHYSICAL_SHIFT,10,20,7,True,True,4,3,True
1000002,PHYSICAL_SHIFT,11,20,7,True,True,4,4,False
1000003,NOMINAL,0,20,20,False,False,0,0,False
1000003,NOMINAL,1,20,20,False,False,0,0,False
1000003,NOMINAL,2,20,20,False,False,0,0,False
1000003,NOMINAL,3,20,36,True,False,0,0,False
1000003,NOMINAL,4,20,7,True,True,0,0,False
1000003,NOMINAL,5,20,7,True,True,0,0,False
1000003,NOMINAL,6,20,7,True,True,0,0,False
1000003,NOMINAL,7,20,7,True,True,0,0,False
1000003,NOMINAL,8,20,7,True,True,0,0,False
1000003,NOMINAL,9,20,7,True,True,2,0,True
1000003,NOMINAL,10,20,7,True,True,3,0,True
1000003,NOMINAL,11,20,7,True,True,3,0,True
1000003,PHYSICAL_SHIFT,0,20,20,False,False,0,0,False
1000003,PHYSICAL_SHIFT,1,20,20,False,False,0,0,False
1000003,PHYSICAL_SHIFT,2,20,20,False,False,0,0,False
1000003,PHYSICAL_SHIFT,3,20,36,True,False,0,0,False
1000003,PHYSICAL_SHIFT,4,20,7,True,True,0,0,False
1000003,PHYSICAL_SHIFT,5,20,7,True,True,0,0,False
1000003,PHYSICAL_SHIFT,6,20,7,True,True,0,0,False
1000003,PHYSICAL_SHIFT,7,20,7,True,True,2,0,True
1000003,PHYSICAL_SHIFT,8,20,7,True,True,3,0,True
1000003,PHYSICAL_SHIFT,9,20,7,True,True,4,2,True
1000003,PHYSICAL_SHIFT,10,20,7,True,True,4,3,True
1000003,PHYSICAL_SHIFT,11,20,7,True,True,4,4,False
1000004,NOMINAL,0,20,7,True,True,0,0,False
1000004,NOMINAL,1,20,7,True,True,0,0,False
1000004,NOMINAL,2,20,7,True,True,0,0,False
1000004,NOMINAL,3,20,7,True,True,0,0,False
1000004,NOMINAL,4,20,7,True,True,0,0,False
1000004,NOMINAL,5,20,7,True,True,0,0,False
1000004,NOMINAL,6,20,7,True,True,1,0,True
1000004,NOMINAL,7,20,7,True,True,1,0,True
1000004,NOMINAL,8,20,7,True,True,1,0,True
1000004,NOMINAL,9,20,7,True,True,1,1,False
1000004,NOMINAL,10,20,7,True,True,3,1,True
1000004,NOMINAL,11,20,7,True,True,4,1,True
1000004,PHYSICAL_SHIFT,0,20,7,True,True,0,0,False
1000004,PHYSICAL_SHIFT,1,20,7,True,True,0,0,False
1000004,PHYSICAL_SHIFT,2,20,7,True,True,0,0,False
1000004,PHYSICAL_SHIFT,3,20,7,True,True,0,0,False
1000004,PHYSICAL_SHIFT,4,20,7,True,True,0,0,False
1000004,PHYSICAL_SHIFT,5,20,7,True,True,0,0,False
1000004,PHYSICAL_SHIFT,6,20,7,True,True,1,0,True
1000004,PHYSICAL_SHIFT,7,20,7,True,True,1,0,True
1000004,PHYSICAL_SHIFT,8,20,7,True,True,3,1,True
1000004,PHYSICAL_SHIFT,9,20,7,True,True,4,1,True
1000004,PHYSICAL_SHIFT,10,20,7,True,True,4,4,False
1000004,PHYSICAL_SHIFT,11,20,7,True,True,4,4,False
1000005,NOMINAL,0,20,20,False,False,0,0,False
1000005,NOMINAL,1,20,20,False,False,0,0,False
1000005,NOMINAL,2,20,36,True,False,0,0,False
1000005,NOMINAL,3,20,7,True,True,0,0,False
1000005,NOMINAL,4,20,7,True,True,0,0,False
1000005,NOMINAL,5,20,7,True,True,0,0,False
1000005,NOMINAL,6,20,7,True,True,0,0,False
1000005,NOMINAL,7,20,7,True,True,0,0,False
1000005,NOMINAL,8,20,7,True,True,1,0,True
1000005,NOMINAL,9,20,7,True,True,2,0,True
1000005,NOMINAL,10,20,7,True,True,3,0,True
1000005,NOMINAL,11,20,7,True,True,4,1,True
1000005,PHYSICAL_SHIFT,0,20,20,False,False,0,0,False
1000005,PHYSICAL_SHIFT,1,20,20,False,False,0,0,False
1000005,PHYSICAL_SHIFT,2,20,36,True,False,0,0,False
1000005,PHYSICAL_SHIFT,3,20,7,True,True,0,0,False
1000005,PHYSICAL_SHIFT,4,20,7,True,True,0,0,False
1000005,PHYSICAL_SHIFT,5,20,7,True,True,0,0,False
1000005,PHYSICAL_SHIFT,6,20,7,True,True,0,0,False
1000005,PHYSICAL_SHIFT,7,20,7,True,True,3,0,True
1000005,PHYSICAL_SHIFT,8,20,7,True,True,4,0,True
1000005,PHYSICAL_SHIFT,9,20,7,True,True,4,2,True
1000005,PHYSICAL_SHIFT,10,20,7,True,True,4,4,False
1000005,PHYSICAL_SHIFT,11,20,7,True,True,4,4,False
1000006,NOMINAL,0,20,20,False,False,0,0,False
1000006,NOMINAL,1,20,36,True,False,0,0,False
1000006,NOMINAL,2,20,7,True,True,0,0,False
1000006,NOMINAL,3,20,7,True,True,0,0,False
1000006,NOMINAL,4,20,7,True,True,0,0,False
1000006,NOMINAL,5,20,7,True,True,0,0,False
1000006,NOMINAL,6,20,7,True,True,0,0,False
1000006,NOMINAL,7,20,7,True,True,2,0,True
1000006,NOMINAL,8,20,7,True,True,2,0,True
1000006,NOMINAL,9,20,7,True,True,2,0,True
1000006,NOMINAL,10,20,7,True,True,2,2,False
1000006,NOMINAL,11,20,7,True,True,4,2,True
1000006,PHYSICAL_SHIFT,0,20,20,False,False,0,0,False
1000006,PHYSICAL_SHIFT,1,20,36,True,False,0,0,False
1000006,PHYSICAL_SHIFT,2,20,7,True,True,0,0,False
1000006,PHYSICAL_SHIFT,3,20,7,True,True,0,0,False
1000006,PHYSICAL_SHIFT,4,20,7,True,True,0,0,False
1000006,PHYSICAL_SHIFT,5,20,7,True,True,0,0,False
1000006,PHYSICAL_SHIFT,6,20,7,True,True,2,0,True
1000006,PHYSICAL_SHIFT,7,20,7,True,True,2,0,True
1000006,PHYSICAL_SHIFT,8,20,7,True,True,4,2,True
1000006,PHYSICAL_SHIFT,9,20,7,True,True,4,2,True
1000006,PHYSICAL_SHIFT,10,20,7,True,True,4,4,False
1000006,PHYSICAL_SHIFT,11,20,7,True,True,4,4,False
1000007,NOMINAL,0,20,20,False,False,0,0,False
1000007,NOMINAL,1,20,36,True,False,0,0,False
1000007,NOMINAL,2,20,7,True,True,0,0,False
1000007,NOMINAL,3,20,7,True,True,0,0,False
1000007,NOMINAL,4,20,7,True,True,0,0,False
1000007,NOMINAL,5,20,7,True,True,0,0,False
1000007,NOMINAL,6,20,7,True,True,0,0,False
1000007,NOMINAL,7,20,7,True,True,1,0,True
1000007,NOMINAL,8,20,7,True,True,1,0,True
1000007,NOMINAL,9,20,7,True,True,3,0,True
1000007,NOMINAL,10,20,7,True,True,3,1,True
1000007,NOMINAL,11,20,7,True,True,4,2,True
