control,V,regime,K,B,L,P,Y_A,Y_B,legal_repeat_rate,noop_fraction,violations
channel0,0,NOMINAL,1,0.0,0.5237583333333332,0.43922447916666674,0.6279437499999999,0.5237583333333332,0.0,1.0,0
channel0,0,NOMINAL,2,0.12760416666666666,0.4371291666666667,0.5572848958333333,0.5550479166666666,0.4496802083333333,0.004166666666666667,0.5416666666666667,79
channel0,0,NOMINAL,4,0.31770833333333337,0.30522916666666666,0.6645145833333332,0.4898229166666666,0.34962187499999997,0.029166666666666664,0.09583333333333333,163
channel0,0,NOMINAL,8,0.3901041666666667,0.19591666666666666,0.6882671874999999,0.4896322916666668,0.2674520833333333,0.041666666666666664,0.0,207
channel0,0,NOMINAL,16,0.4276041666666667,0.12115416666666665,0.6788458333333333,0.45971770833333325,0.25384583333333344,0.008333333333333333,0.0,232
channel0,0,NOMINAL,32,0.4463541666666667,0.096159375,0.6931239583333333,0.5493697916666667,0.15738437500000002,0.0,0.0,240
channel0,0,NOMINAL,48,0.46614583333333337,0.05187708333333334,0.7147598958333334,0.6279437499999999,0.05187708333333334,0.0,0.0,240
channel0,0,PHYSICAL_SHIFT,1,0.0,0.5237583333333332,0.43922447916666674,0.6279437499999999,0.5237583333333332,0.0,1.0,0
channel0,0,PHYSICAL_SHIFT,2,0.1359375,0.43585,0.5572848958333333,0.5517135416666666,0.4490135416666667,0.004166666666666667,0.5416666666666667,79
channel0,0,PHYSICAL_SHIFT,4,0.32083333333333336,0.2981010416666667,0.6645145833333332,0.48849166666666666,0.342825,0.029166666666666664,0.09583333333333333,163
channel0,0,PHYSICAL_SHIFT,8,0.39114583333333336,0.19245208333333336,0.6882671874999999,0.4887802083333333,0.2645895833333334,0.041666666666666664,0.0,207
channel0,0,PHYSICAL_SHIFT,16,0.4276041666666667,0.11994166666666665,0.6788161458333333,0.4589843749999999,0.25336666666666674,0.008333333333333333,0.0,232
channel0,0,PHYSICAL_SHIFT,32,0.4463541666666667,0.09605104166666667,0.6931239583333333,0.5492614583333333,0.15738437500000002,0.0,0.0,240
channel0,0,PHYSICAL_SHIFT,48,0.46614583333333337,0.05187708333333334,0.7147598958333334,0.6279437499999999,0.05187708333333334,0.0,0.0,240
channel0,1,NOMINAL,1,0.0,0.5237583333333332,0.43922447916666674,0.6279437499999999,0.5237583333333332,0.0,1.0,0
channel0,1,NOMINAL,2,0.0,0.5234249999999999,0.4645369791666667,0.6322770833333333,0.5234249999999999,0.004166666666666667,0.8708333333333332,0
channel0,1,NOMINAL,4,0.0,0.5134791666666667,0.5177244791666669,0.62519375,0.5146750000000001,0.0375,0.6208333333333333,0
channel0,1,NOMINAL,8,0.0328125,0.48752708333333333,0.5852072916666666,0.6116937499999999,0.4903416666666667,0.15416666666666667,0.32083333333333336,0
